,Date Local,County Code,State Code,Site Num,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
1,2000-01-01,25,6.0,5.0,9.304348,24.0,7.0,23.0,0.032917,0.041,10.0,35.0,0.40279499999999996,2.3,9.5,4.0,0.46678700000000006,1.0,9.0,9.0
13,2000-01-02,25,6.0,5.0,10.0,25.0,17.0,24.0,0.029667,0.04,8.0,34.0,0.0,0.0,1.0,0.0,0.3811595,0.6,11.0,6.0
24,2000-01-03,25,6.0,5.0,23.304348,51.0,19.0,48.0,0.016833,0.035,9.0,30.0,1.1363355,5.0,20.0,9.0,1.3592389999999999,4.3,21.0,32.0
36,2000-01-04,25,6.0,5.0,24.913043,51.0,8.0,48.0,0.015625,0.033,9.0,28.0,1.2658385,4.15,14.0,7.0,1.4951085000000002,4.05,9.5,33.0
48,2000-01-05,25,6.0,5.0,24.173913,42.0,17.0,40.0,0.016125,0.031,9.0,26.0,0.7984475,3.3,7.5,6.0,1.280616,3.4499999999999997,3.5,30.0
60,2000-01-06,25,6.0,5.0,20.913043,47.0,20.0,44.0,0.019125,0.038,9.0,32.0,0.812733,4.65,22.0,9.0,1.0112315,3.8000000000000003,21.5,27.0
72,2000-01-07,25,6.0,5.0,38.363636,113.0,10.0,103.0,0.012375,0.031,9.0,26.0,2.518939,7.15,8.0,11.0,2.10322,5.1,9.0,47.0
84,2000-01-08,25,6.0,5.0,32.434783,64.0,21.0,62.0,0.015291999999999997,0.033,9.0,28.0,4.473913,15.0,22.0,23.0,2.9185685,11.85,22.0,92.0
96,2000-01-09,25,6.0,5.0,42.173913,115.0,9.0,104.0,0.020583,0.056,9.0,47.0,4.9857145,11.5,1.5,19.0,4.2174815,11.4,1.0,126.0
108,2000-01-10,25,6.0,5.0,41.956522,87.0,17.0,86.0,0.024708,0.065,9.0,67.0,2.8052795,6.0,22.0,9.0,1.975,4.95,23.0,40.0
120,2000-01-11,25,6.0,5.0,40.869565,66.0,22.0,64.0,0.017333,0.044,9.0,37.0,5.7903725,11.649999999999999,16.0,19.0,2.4061595000000002,5.199999999999999,0.0,47.0
132,2000-01-12,25,6.0,5.0,58.26087,185.0,9.0,117.0,0.021792,0.056,9.0,47.0,7.013043499999999,17.0,13.5,27.0,3.0317935,7.05,10.0,61.0
144,2000-01-13,25,6.0,5.0,39.782609,68.0,8.0,66.0,0.018292,0.046,9.0,39.0,4.0068325,6.800000000000001,8.0,11.0,1.9553445,3.6499999999999995,8.5,31.0
156,2000-01-14,25,6.0,5.0,35.272727,53.0,20.0,50.0,0.01175,0.029,9.0,25.0,3.2886365,5.65,6.5,9.0,2.3918559999999998,5.05,14.5,43.0
168,2000-01-15,25,6.0,5.0,54.26087,115.0,19.0,104.0,0.013291999999999998,0.034,10.0,29.0,6.2164595,10.649999999999999,1.5,16.0,5.5818840000000005,10.3,4.0,103.0
180,2000-01-16,25,6.0,5.0,32.217391,84.0,9.0,83.0,0.015125,0.039,9.0,33.0,3.596894,9.3,13.0,16.0,2.1339675,5.15,4.5,58.0
192,2000-01-17,25,6.0,5.0,26.043478,43.0,18.0,41.0,0.009292,0.019,9.0,16.0,1.5972049999999998,2.8,19.0,4.0,1.1237314999999999,2.5,19.5,17.0
204,2000-01-18,25,6.0,5.0,26.695652000000006,69.0,8.0,67.0,0.011708,0.022,8.0,19.0,2.373913,7.5,8.0,13.0,2.0444750000000003,6.449999999999999,8.5,44.0
216,2000-01-19,25,6.0,5.0,23.652174,52.0,19.0,49.0,0.012125,0.027000000000000003,9.0,23.0,1.539441,3.6500000000000004,19.5,6.0,1.28125,3.0,20.5,22.0
229,2000-01-20,25,6.0,5.0,15.608695999999998,35.0,8.0,33.0,0.019875,0.03,9.0,25.0,1.0863355,2.5,8.0,4.0,0.9853259999999999,2.45,4.0,23.0
242,2000-01-21,25,6.0,5.0,19.181818,50.0,12.0,47.0,0.020917,0.031,9.0,26.0,0.5098485,3.1500000000000004,15.5,7.0,0.7761365,1.6999999999999997,12.5,13.0
255,2000-01-22,25,6.0,5.0,26.086957,65.0,19.0,63.0,0.014458000000000004,0.027000000000000003,9.0,23.0,1.4096275,9.65,20.0,17.0,1.4602355,8.350000000000001,21.5,50.0
268,2000-01-23,25,6.0,5.0,28.869565,52.0,20.0,49.0,0.018708,0.045,9.0,38.0,0.799068,2.8,7.5,4.0,1.7499094999999998,4.25,3.5,50.0
281,2000-01-24,25,6.0,5.0,43.565217,122.0,9.0,105.0,0.020208,0.054000000000000006,9.0,46.0,3.92795,7.5,19.5,11.0,2.7770835,5.0,8.5,47.0
294,2000-01-25,25,6.0,5.0,23.173913,78.0,9.0,77.0,0.0195,0.029,9.0,25.0,1.8493785000000003,6.15,8.5,11.0,1.4819749999999998,3.5,4.5,36.0
307,2000-01-26,25,6.0,5.0,12.0,46.0,18.0,43.0,0.028,0.04,9.0,34.0,0.043167500000000004,0.6499999999999999,19.0,1.0,0.40027150000000006,1.25,18.5,7.0
320,2000-01-27,25,6.0,5.0,23.913043,52.0,22.0,49.0,0.016583,0.036000000000000004,9.0,31.0,1.3593170000000003,9.0,22.5,14.0,1.2293479999999999,5.85,23.0,41.0
333,2000-01-28,25,6.0,5.0,27.818182,49.0,23.0,46.0,0.01425,0.036000000000000004,9.0,31.0,2.5727275,7.5,12.5,13.0,2.761553,7.3,13.5,73.0
346,2000-01-29,25,6.0,5.0,27.826087,59.0,20.0,56.0,0.0165,0.04,9.0,34.0,3.129193,11.5,22.0,21.0,2.519203,7.949999999999999,12.5,60.0
359,2000-01-30,25,6.0,5.0,33.086957,85.0,9.0,84.0,0.022292,0.046,9.0,39.0,3.9860245,8.5,7.5,13.0,2.698188,6.3,7.5,59.0
371,2000-01-31,25,6.0,5.0,24.826087,43.0,18.0,41.0,0.016583,0.034,9.0,29.0,1.3673914999999999,6.300000000000001,7.5,11.0,1.0836955,2.45,6.0,23.0
384,2000-02-01,25,6.0,5.0,25.173913,55.0,21.0,52.0,0.015958,0.036000000000000004,9.0,31.0,0.1863355,1.15,22.5,1.0,1.5479165000000001,8.35,23.0,57.0
397,2000-02-02,25,6.0,5.0,29.826087,51.0,0.0,48.0,0.016458,0.038,9.0,32.0,0.32018650000000004,1.1,1.0,1.0,3.0800725,10.5,2.0,96.0
410,2000-02-03,25,6.0,5.0,30.869565,64.0,18.0,62.0,0.016375,0.04,9.0,34.0,0.24037249999999996,0.7000000000000001,19.5,0.0,1.558424,4.35,21.0,35.0
423,2000-02-04,25,6.0,5.0,40.0,88.0,9.0,87.0,0.017166999999999998,0.044,9.0,37.0,0.26060599999999995,0.7,2.5,0.0,2.430871,6.15,3.0,50.0
436,2000-02-05,25,6.0,5.0,37.826087,96.0,9.0,96.0,0.013416999999999998,0.031,9.0,26.0,0.3425465,0.8500000000000001,22.0,1.0,2.8456520000000003,8.05,15.0,51.0
449,2000-02-06,25,6.0,5.0,27.086957,55.0,18.0,52.0,0.017583,0.043,10.0,36.0,0.16335400000000003,0.44999999999999996,1.0,0.0,2.0178445,5.7,1.5,64.0
462,2000-02-07,25,6.0,5.0,30.173913,57.0,18.0,54.0,0.018208,0.044,9.0,37.0,0.16335400000000003,0.35000000000000003,8.0,0.0,1.3278984999999999,2.6,7.5,22.0
475,2000-02-08,25,6.0,5.0,44.565217,73.0,13.0,71.0,0.00775,0.016,8.0,14.0,0.304348,0.8,22.0,0.0,2.1387685,4.9,22.0,44.0
488,2000-02-09,25,6.0,5.0,35.217391,177.0,9.0,115.0,0.028292,0.046,10.0,39.0,0.3993785000000001,1.3,8.0,1.0,2.9923915,8.9,8.5,69.0
501,2000-02-10,25,6.0,5.0,6.9565220000000005,13.0,15.0,12.0,0.033875,0.039,9.0,33.0,0.020186500000000003,0.25,16.5,0.0,0.42971,0.55,3.5,6.0
514,2000-02-11,25,6.0,5.0,15.590909,52.0,19.0,49.0,0.026,0.044,9.0,37.0,0.0916665,0.44999999999999996,19.0,0.0,0.6147724999999999,1.7,21.0,15.0
527,2000-02-12,25,6.0,5.0,11.26087,30.0,1.0,28.0,0.03425,0.043,10.0,36.0,0.090683,0.15,3.5,0.0,0.5663045,1.35,0.5,17.0
540,2000-02-13,25,6.0,5.0,11.086957,34.0,23.0,32.0,0.028167,0.043,9.0,36.0,0.07205,0.15,8.0,0.0,0.47074249999999995,1.2,17.0,8.0
553,2000-02-14,25,6.0,5.0,18.086957,46.0,8.0,43.0,0.018292,0.034,9.0,29.0,0.160559,0.45,8.0,0.0,0.9228259999999999,2.2,8.0,18.0
565,2000-02-15,25,6.0,5.0,23.695652,49.0,18.0,46.0,0.014958,0.036000000000000004,9.0,31.0,0.2201865,0.6,14.5,0.0,1.3392210000000002,4.0,15.0,25.0
577,2000-02-16,25,6.0,5.0,23.565217,54.0,8.0,51.0,0.024,0.041,21.0,35.0,0.3850930000000001,0.95,8.0,1.0,2.7934785,7.800000000000001,8.0,67.0
590,2000-02-17,25,6.0,5.0,7.086957000000001,15.0,21.0,14.0,0.035958,0.044,7.0,37.0,0.1,0.1,1.0,0.0,0.3998185,0.55,8.5,7.0
