,Date Local,County Code,State Code,Site Num,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
603,2000-02-18,25,6.0,5.0,25.090909,47.0,18.0,44.0,0.016416999999999998,0.037000000000000005,9.0,31.0,0.1265155,0.4,11.5,0.0,0.9198865,2.2,7.5,17.0
616,2000-02-19,25,6.0,5.0,21.869565,49.0,20.0,46.0,0.017667,0.039,9.0,33.0,0.067702,0.5,20.0,0.0,0.8278984999999999,2.95,21.5,16.0
629,2000-02-20,25,6.0,5.0,18.652174,44.0,2.0,42.0,0.019542,0.04,9.0,34.0,0.1419255,0.55,2.0,0.0,1.368297,5.1,5.0,36.0
642,2000-02-21,25,6.0,5.0,10.434783,25.0,5.0,24.0,0.0305,0.042,10.0,36.0,0.0108695,0.1,3.5,0.0,0.614221,1.75,5.5,14.0
655,2000-02-22,25,6.0,5.0,17.913043,39.0,7.0,37.0,0.019917,0.035,9.0,30.0,0.0742235,0.15,7.5,0.0,0.769112,1.6999999999999997,7.5,13.0
668,2000-02-23,25,6.0,5.0,21.866667,49.0,9.0,46.0,0.024615,0.042,21.0,36.0,0.15,0.3,9.0,0.0,1.341282,3.1500000000000004,9.5,26.0
681,2000-02-24,25,6.0,5.0,6.0,14.0,18.0,13.0,0.038792,0.045,9.0,38.0,0.090683,0.1,1.0,0.0,0.368025,0.5,9.0,6.0
694,2000-02-25,25,6.0,5.0,18.045455,48.0,20.0,45.0,0.023958,0.042,9.0,36.0,0.14393899999999998,0.35000000000000003,22.0,0.0,0.744697,2.25,22.0,17.0
706,2000-02-26,25,6.0,5.0,27.695652000000006,50.0,8.0,47.0,0.021167,0.05,9.0,42.0,0.3664595,0.6,2.0,0.0,2.2473730000000005,5.0,4.0,52.0
718,2000-02-27,25,6.0,5.0,16.173913,53.0,7.0,50.0,0.040667,0.065,9.0,67.0,0.19720499999999996,0.55,7.5,0.0,1.1528985,3.95,7.5,27.0
731,2000-02-28,25,6.0,5.0,6.869565,19.0,17.0,18.0,0.03775,0.046,9.0,39.0,0.1,0.1,1.0,0.0,0.334239,0.44999999999999996,17.5,5.0
744,2000-02-29,25,6.0,5.0,19.565217,57.0,19.0,54.0,0.028708,0.043,9.0,36.0,0.2108695,0.5,19.5,0.0,0.781703,1.85,19.5,13.0
757,2000-03-01,25,6.0,5.0,16.086957,54.0,23.0,51.0,0.028875,0.047,9.0,40.0,0.20434799999999997,1.05,23.0,1.0,0.866395,5.15,23.0,27.0
770,2000-03-02,25,6.0,5.0,20.652174,55.0,18.0,52.0,0.030292000000000006,0.055,10.0,47.0,0.265528,0.55,10.0,0.0,1.1080619999999999,2.8,0.5,32.0
783,2000-03-03,25,6.0,5.0,15.136364000000002,33.0,3.0,31.0,0.030625,0.047,9.0,40.0,0.1833335,0.5,11.5,0.0,0.8214014999999999,2.1,6.5,17.0
796,2000-03-04,25,6.0,5.0,15.478260999999998,39.0,7.0,37.0,0.032875,0.049,10.0,42.0,0.16118000000000002,0.44999999999999996,10.0,0.0,0.698188,1.9500000000000002,9.0,16.0
809,2000-03-05,25,6.0,5.0,9.0,17.0,1.0,16.0,0.032083,0.04,19.0,34.0,0.069876,0.15,5.5,0.0,0.4971920000000001,0.7000000000000001,4.5,7.0
822,2000-03-06,25,6.0,5.0,12.652174,32.0,7.0,30.0,0.030167000000000006,0.046,9.0,39.0,0.08633550000000001,0.15,7.5,0.0,0.5048915,1.2,7.5,8.0
835,2000-03-07,25,6.0,5.0,14.478260999999998,43.0,7.0,41.0,0.025583,0.04,9.0,34.0,0.165528,0.35000000000000003,9.5,0.0,0.7821555,2.0999999999999996,8.0,16.0
848,2000-03-08,25,6.0,5.0,14.478260999999998,34.0,7.0,32.0,0.028208,0.04,9.0,34.0,0.15900650000000002,0.25,7.5,0.0,0.6914855,1.7000000000000002,7.5,14.0
861,2000-03-09,25,6.0,5.0,13.565217,46.0,19.0,43.0,0.03025,0.046,9.0,39.0,0.11801249999999999,0.25,19.5,0.0,0.5708335,1.6,20.5,11.0
874,2000-03-10,25,6.0,5.0,17.227273,49.0,19.0,46.0,0.028917,0.051,10.0,43.0,0.0916665,0.2,6.5,0.0,0.6547345,1.35,9.5,11.0
887,2000-03-11,25,6.0,5.0,22.478261,65.0,19.0,63.0,0.024917,0.052000000000000005,10.0,44.0,0.1863355,0.9000000000000001,22.0,1.0,1.2975545,5.7,22.0,41.0
900,2000-03-12,25,6.0,5.0,25.217391,69.0,21.0,67.0,0.025458,0.056,10.0,47.0,0.34037249999999997,1.3,22.0,1.0,2.2995470000000005,8.1,12.0,59.0
913,2000-03-13,25,6.0,5.0,35.695652,82.0,19.0,81.0,0.025417,0.058,10.0,49.0,0.49875800000000003,0.9000000000000001,2.0,1.0,3.149547,7.6,6.5,65.0
926,2000-03-14,25,6.0,5.0,31.26087,68.0,20.0,66.0,0.025042,0.05,9.0,42.0,0.4015525,1.2,20.0,1.0,2.199638,5.8,10.5,45.0
939,2000-03-15,25,6.0,5.0,27.73913,68.0,7.0,66.0,0.038958,0.08199999999999999,9.0,116.0,0.42236049999999997,0.75,22.0,0.0,1.5361415,3.75,3.5,40.0
952,2000-03-16,25,6.0,5.0,22.0,61.0,19.0,58.0,0.027542,0.051,9.0,43.0,0.31801250000000003,0.75,19.5,0.0,1.0511775,2.25,21.5,18.0
965,2000-03-17,25,6.0,5.0,16.909091,41.0,19.0,39.0,0.029333,0.052000000000000005,10.0,44.0,0.0901515,0.3,1.0,0.0,0.6789775,1.4500000000000002,4.0,18.0
978,2000-03-18,25,6.0,5.0,24.043478,65.0,7.0,63.0,0.027208,0.053,10.0,45.0,0.12453449999999999,0.5,22.0,0.0,1.0227355,3.3,22.5,24.0
991,2000-03-19,25,6.0,5.0,17.608696,61.0,8.0,58.0,0.046542,0.062,12.0,58.0,0.212422,0.7,11.0,0.0,1.34846,3.85,7.0,33.0
1003,2000-03-20,25,6.0,5.0,5.695652,10.0,19.0,9.0,0.039125,0.045,0.0,38.0,0.0,0.0,1.0,0.0,0.22545300000000001,0.3,3.5,3.0
1016,2000-03-21,25,6.0,5.0,12.130435,54.0,19.0,51.0,0.031875,0.048,9.0,41.0,0.054037,0.25,19.5,0.0,0.43777150000000004,1.9499999999999997,20.5,13.0
1029,2000-03-22,25,6.0,5.0,19.347826,66.0,19.0,64.0,0.029125,0.052000000000000005,10.0,44.0,0.209317,0.6,20.0,0.0,0.6730075,2.1,20.5,15.0
1042,2000-03-23,25,6.0,5.0,21.0,41.0,21.0,39.0,0.030083,0.057,10.0,48.0,0.25403699999999996,0.45,5.0,0.0,0.808152,1.5,4.0,16.0
1055,2000-03-24,25,6.0,5.0,27.045455,60.0,21.0,57.0,0.0255,0.06,10.0,51.0,0.39318200000000003,0.9000000000000001,22.0,1.0,1.4024619999999999,4.5,22.0,33.0
1068,2000-03-25,25,6.0,5.0,21.217391,47.0,23.0,44.0,0.032125,0.057,9.0,48.0,0.251242,0.75,2.0,0.0,1.4318840000000002,4.9,2.0,47.0
1081,2000-03-26,25,6.0,5.0,23.73913,57.0,20.0,54.0,0.038042,0.077,10.0,104.0,0.267702,0.5,20.5,0.0,1.0602355,1.85,13.0,16.0
1094,2000-03-27,25,6.0,5.0,14.782609,42.0,7.0,40.0,0.032083,0.039,9.0,33.0,0.154037,0.4,8.0,0.0,0.8274455000000001,1.75,3.5,17.0
1107,2000-03-28,25,6.0,5.0,5.521739,10.0,21.0,9.0,0.038333,0.049,9.0,42.0,0.040372500000000006,0.1,5.5,0.0,0.274366,0.35,0.5,5.0
1120,2000-03-29,25,6.0,5.0,14.956522,36.0,7.0,34.0,0.035542000000000004,0.055,9.0,47.0,0.263354,0.7,10.0,0.0,0.6725545,1.5999999999999999,8.5,15.0
1133,2000-03-30,25,6.0,5.0,10.652174,24.0,18.0,23.0,0.04175,0.064,10.0,64.0,0.10217399999999999,0.15,4.5,0.0,0.429529,0.65,3.0,6.0
1146,2000-03-31,25,6.0,5.0,16.818182,49.0,22.0,46.0,0.027833,0.048,9.0,41.0,0.0916665,0.25,22.5,0.0,0.5308710000000001,1.9,22.5,15.0
1159,2000-04-01,25,6.0,5.0,20.521739,65.0,20.0,63.0,0.02875,0.054000000000000006,9.0,46.0,1.0357145,5.800000000000001,20.0,11.0,0.8094205,3.3500000000000005,21.5,20.0
1172,2000-04-02,25,6.0,5.0,21.608696,46.0,0.0,43.0,0.031833,0.061,9.0,54.0,1.985404,7.800000000000001,22.5,13.0,0.976812,2.2,2.0,27.0
1185,2000-04-03,25,6.0,5.0,26.173913,51.0,8.0,48.0,0.041292,0.085,9.0,124.0,4.286645999999999,8.3,12.0,13.0,1.0953805,2.0,9.5,20.0
1198,2000-04-04,25,6.0,5.0,26.173913,67.0,21.0,65.0,0.033917,0.066,10.0,71.0,3.1220499999999998,7.5,22.5,13.0,1.1215579999999998,3.8,22.0,23.0
1211,2000-04-05,25,6.0,5.0,23.956522,114.0,7.0,103.0,0.045375,0.067,8.0,74.0,2.7909935,11.5,7.5,19.0,1.4490944999999997,5.0,8.5,36.0
1224,2000-04-06,25,6.0,5.0,17.695652,96.0,8.0,96.0,0.042917,0.066,9.0,71.0,2.381056,8.65,8.0,14.0,0.925453,3.15,9.0,24.0
1237,2000-04-07,25,6.0,5.0,29.090909000000003,76.0,7.0,74.0,0.035583,0.067,9.0,74.0,2.0143940000000002,6.5,7.5,11.0,1.127841,3.1499999999999995,7.5,19.0
1250,2000-04-08,25,6.0,5.0,9.565217,32.0,5.0,30.0,0.044958,0.065,9.0,67.0,0.3096275,1.0,8.5,1.0,0.4913949999999999,1.4,2.5,17.0
1263,2000-04-09,25,6.0,5.0,4.086957,6.0,12.0,6.0,0.050542,0.058,10.0,49.0,0.309317,1.0,12.0,1.0,0.21476450000000002,0.3,8.5,3.0
1276,2000-04-10,25,6.0,5.0,11.173913,53.0,19.0,50.0,0.0445,0.059,9.0,50.0,0.827329,2.5,20.0,4.0,0.4031705,1.45,20.5,9.0
1289,2000-04-11,25,6.0,5.0,18.217391,63.0,20.0,61.0,0.0335,0.055,10.0,47.0,2.1723605,8.3,22.0,14.0,0.85625,3.5999999999999996,21.5,24.0
1302,2000-04-12,25,6.0,5.0,21.521739,61.0,19.0,58.0,0.044875,0.068,9.0,77.0,2.5757765,8.65,7.0,16.0,1.1140400000000001,3.4,3.0,24.0
1315,2000-04-13,25,6.0,5.0,10.434783,26.0,6.0,25.0,0.048958,0.079,8.0,109.0,1.7263975,4.0,14.0,7.0,0.5160325,0.95,5.5,10.0
1328,2000-04-14,25,6.0,5.0,4.0,5.0,7.0,5.0,0.037875,0.045,8.0,38.0,1.0,1.0,1.0,1.0,0.277841,0.4,7.5,5.0
1341,2000-04-15,25,6.0,5.0,9.217391,27.0,22.0,25.0,0.031625,0.049,10.0,42.0,2.503416,6.15,14.0,11.0,0.35000000000000003,0.9000000000000001,22.5,8.0
1354,2000-04-16,25,6.0,5.0,9.73913,27.0,7.0,25.0,0.031,0.045,8.0,38.0,2.68323,4.5,11.0,7.0,0.535598,1.0,3.5,8.0
1367,2000-04-17,25,6.0,5.0,5.826087,14.0,6.0,13.0,0.039625,0.051,9.0,43.0,2.0863354999999997,3.5,16.0,6.0,0.416576,0.6,3.0,6.0
1380,2000-04-18,25,6.0,5.0,3.913043,7.0,5.0,7.0,0.045542,0.05,10.0,42.0,1.863354,2.0,5.5,3.0,0.331975,0.4,2.5,5.0
1393,2000-04-19,25,6.0,5.0,15.0,53.0,22.0,50.0,0.035542000000000004,0.062,10.0,58.0,2.4962735,5.5,22.5,9.0,0.5986415,2.45,23.0,16.0
1406,2000-04-20,25,6.0,5.0,16.521739,52.0,0.0,49.0,0.045167,0.07,10.0,84.0,3.762422,7.65,1.0,13.0,0.9934785,3.9000000000000004,2.0,27.0
1419,2000-04-21,25,6.0,5.0,6.090909,18.0,6.0,17.0,0.046292,0.054000000000000006,8.0,46.0,1.310606,4.0,7.0,6.0,0.42840900000000004,0.8999999999999999,3.0,9.0
1432,2000-04-22,25,6.0,5.0,4.478261,12.0,22.0,11.0,0.043167,0.054000000000000006,8.0,46.0,0.0,0.0,1.0,0.0,0.24067049999999998,0.35000000000000003,14.0,3.0
1445,2000-04-23,25,6.0,5.0,12.26087,57.0,21.0,54.0,0.040083,0.064,10.0,64.0,0.4891305,2.6500000000000004,22.0,4.0,0.5164855,1.85,21.5,11.0
1458,2000-04-24,25,6.0,5.0,22.26087,71.0,22.0,69.0,0.036875,0.067,10.0,74.0,2.2658385,12.149999999999999,22.5,20.0,1.2160325,5.449999999999999,22.5,33.0
1471,2000-04-25,25,6.0,5.0,25.434783,65.0,20.0,63.0,0.038,0.067,9.0,74.0,3.3593170000000003,11.649999999999999,22.0,19.0,1.7293479999999999,5.050000000000001,12.5,47.0
1484,2000-04-26,25,6.0,5.0,21.782609,65.0,19.0,63.0,0.049417,0.08199999999999999,9.0,116.0,2.395652,5.800000000000001,19.5,10.0,1.217935,3.1,9.5,39.0
1497,2000-04-27,25,6.0,5.0,12.0,33.0,7.0,31.0,0.049458,0.062,9.0,58.0,2.6552795000000002,5.800000000000001,7.5,9.0,0.6964675,1.45,7.5,14.0
1510,2000-04-28,25,6.0,5.0,4.863636,9.0,19.0,8.0,0.05,0.059,18.0,50.0,0.8522725,1.7999999999999998,1.5,3.0,0.26496200000000003,0.35,0.0,5.0
1523,2000-04-29,25,6.0,5.0,12.347826,49.0,21.0,46.0,0.045792,0.061,9.0,54.0,0.3596275,2.5,22.0,4.0,0.405616,1.35,21.5,10.0
1536,2000-04-30,25,6.0,5.0,14.826087,69.0,20.0,67.0,0.043842,0.059,10.0,50.0,1.2586955,6.300000000000001,20.0,11.0,0.6354165,2.4,21.5,17.0
1921,2000-06-01,25,6.0,5.0,16.6875,32.0,23.0,30.0,0.020462,0.035,14.0,30.0,1.9249999999999998,3.8,19.5,6.0,0.6,1.0,7.0,8.0
1934,2000-06-02,25,6.0,5.0,11.272727,22.0,0.0,21.0,0.028333,0.047,9.0,40.0,1.165909,2.8,10.0,4.0,0.47234849999999995,0.9000000000000001,4.0,8.0
1947,2000-06-03,25,6.0,5.0,15.130435,56.0,6.0,53.0,0.041875,0.053,10.0,45.0,1.1229809999999998,4.5,7.5,7.0,0.531703,1.6500000000000001,6.5,14.0
1960,2000-06-04,25,6.0,5.0,11.434783,52.0,6.0,49.0,0.048375,0.075,10.0,100.0,0.2878885,1.5,7.0,3.0,0.33405799999999997,1.2,6.0,7.0
1973,2000-06-05,25,6.0,5.0,6.782609,14.0,7.0,13.0,0.033167,0.042,11.0,36.0,0.064907,0.6499999999999999,6.5,1.0,0.189312,0.3,3.5,2.0
1986,2000-06-06,25,6.0,5.0,15.521739000000002,68.0,7.0,66.0,0.041875,0.059,10.0,50.0,0.935404,3.8,7.5,6.0,0.41693800000000003,1.6,7.5,10.0
1998,2000-06-07,25,6.0,5.0,10.73913,35.0,6.0,33.0,0.044292000000000005,0.063,10.0,61.0,0.8776394999999999,2.6500000000000004,13.5,4.0,0.27635849999999995,0.8,6.0,6.0
2011,2000-06-08,25,6.0,5.0,4.695652,10.0,7.0,9.0,0.03325,0.04,8.0,34.0,0.0,0.0,1.0,0.0,0.1875,0.65,18.5,5.0
2024,2000-06-09,25,6.0,5.0,10.0,41.0,20.0,39.0,0.037083,0.055,10.0,47.0,0.2795455,2.3,16.5,6.0,0.368371,0.75,19.5,7.0
2037,2000-06-10,25,6.0,5.0,12.565217,35.0,23.0,33.0,0.036792,0.062,9.0,58.0,1.7192545,4.8,22.5,9.0,0.5387685,0.95,23.0,8.0
2050,2000-06-11,25,6.0,5.0,10.434783,27.0,22.0,25.0,0.034207999999999995,0.06,10.0,51.0,1.6689440000000002,3.3,11.0,6.0,0.5958335,1.05,11.0,9.0
2063,2000-06-12,25,6.0,5.0,18.956522,48.0,21.0,45.0,0.053542,0.083,9.0,119.0,2.3953415,4.3,9.5,7.0,0.8699275,1.5999999999999999,8.5,15.0
2076,2000-06-13,25,6.0,5.0,26.434783000000003,65.0,7.0,63.0,0.057667,0.113,9.0,195.0,3.3953415000000002,7.300000000000001,14.5,13.0,1.190308,2.15,8.5,19.0
2089,2000-06-14,25,6.0,5.0,20.826087,64.0,7.0,62.0,0.042583,0.08800000000000001,7.0,132.0,3.8338505,8.5,10.5,13.0,1.2310685000000001,2.3,9.0,20.0
2102,2000-06-15,25,6.0,5.0,14.173913,30.0,7.0,28.0,0.030667000000000007,0.046,14.0,39.0,2.1869565,3.8,7.5,6.0,1.0082425000000002,1.55,8.5,15.0
2115,2000-06-16,25,6.0,5.0,13.272727,20.0,7.0,19.0,0.023208000000000003,0.038,9.0,32.0,1.8810609999999997,4.5,9.0,9.0,0.8185610000000001,1.2999999999999998,8.5,14.0
2128,2000-06-17,25,6.0,5.0,8.304348,19.0,20.0,18.0,0.028125,0.039,11.0,33.0,0.7841615000000001,1.65,13.0,3.0,0.465761,0.6499999999999999,10.0,7.0
2141,2000-06-18,25,6.0,5.0,6.043478,9.0,21.0,8.0,0.020042,0.035,9.0,30.0,0.3164595,1.0,10.0,1.0,0.46603249999999996,0.6,11.0,7.0
2154,2000-06-19,25,6.0,5.0,8.217391000000001,19.0,7.0,18.0,0.017333,0.036000000000000004,8.0,31.0,0.7192545,2.5,13.5,4.0,0.5980075,0.95,7.5,8.0
2167,2000-06-20,25,6.0,5.0,7.869565,15.0,7.0,14.0,0.018000000000000002,0.029,8.0,25.0,1.3161495,3.5,12.5,6.0,0.6850545,0.8999999999999999,7.0,9.0
2180,2000-06-21,25,6.0,5.0,10.130435,22.0,7.0,21.0,0.020083,0.04,8.0,34.0,1.36677,3.8,11.0,7.0,0.7553445000000001,1.2,9.0,11.0
2193,2000-06-22,25,6.0,5.0,7.347825999999999,13.0,7.0,12.0,0.024125,0.035,10.0,30.0,1.4891305,4.65,10.5,7.0,0.6440215,0.8999999999999999,3.5,9.0
2206,2000-06-23,25,6.0,5.0,9.272727,21.0,8.0,20.0,0.015833,0.028,7.0,24.0,0.9348485,4.800000000000001,10.5,11.0,0.6020835,1.15,8.0,10.0
2219,2000-06-24,25,6.0,5.0,8.173913,16.0,21.0,15.0,0.022417,0.045,10.0,38.0,0.5540369999999999,2.5,8.0,4.0,0.44483700000000004,0.7,10.5,6.0
