,Date Local,SO2 Mean
178,2000-07-28,2.9007575
179,2000-07-29,1.856211
180,2000-07-30,1.3596275
181,2000-07-31,1.3524845
182,2000-08-01,1.906211
183,2000-08-02,1.6978259999999998
184,2000-08-03,2.24441
185,2000-08-04,2.2962119999999997
186,2000-08-05,0.08633550000000001
187,2000-08-06,0.0
188,2000-08-07,0.2881985
189,2000-08-08,0.6760870000000001
190,2000-08-09,0.5397514999999999
191,2000-08-10,0.43882
192,2000-08-11,1.912121
193,2000-08-12,0.92795
194,2000-08-13,1.373913
195,2000-08-14,1.4819875
196,2000-08-15,1.0360245000000001
197,2000-08-16,1.090909
198,2000-08-17,0.0
199,2000-08-21,0.0454545
200,2000-08-22,0.0
201,2000-08-23,0.0791665
202,2000-08-24,0.25
203,2000-08-25,0.0
204,2000-08-26,1.9541665
205,2000-08-27,0.36875
206,2000-08-28,0.24375
207,2000-08-29,0.4145835
208,2000-08-30,2.49375
209,2000-08-31,1.6124999999999998
210,2000-09-01,1.0431674999999998
211,2000-09-02,1.11875
212,2000-09-03,1.9020834999999998
213,2000-09-04,2.49375
214,2000-09-05,3.4020835
215,2000-09-06,3.6979165000000003
216,2000-09-07,4.2382355
217,2000-09-27,5.9354165000000005
218,2000-09-28,6.61875
219,2000-09-29,5.606249999999998
220,2000-09-30,7.0333335
221,2000-10-01,9.6916665
222,2000-10-02,7.283333499999999
223,2000-10-03,6.902083500000001
224,2000-10-04,6.039583500000001
225,2000-10-05,7.264935
226,2000-10-06,9.23125
227,2000-10-07,6.731249999999998
228,2000-10-08,7.572916499999999
229,2000-10-09,7.572916499999999
230,2000-10-10,7.0333335
231,2000-10-11,7.1583335
232,2000-10-12,7.395833499999998
233,2000-10-13,8.4020835
234,2000-10-14,9.7708335
235,2000-10-15,10.4541665
236,2000-10-16,10.4416665
237,2000-10-17,10.3625
238,2000-10-18,11.445652
239,2000-10-19,6.811111
240,2000-10-20,4.825
241,2000-10-21,1.057764
242,2000-10-22,0.0431675
243,2000-10-23,0.0
244,2000-10-24,1.7838505
245,2000-10-25,2.6906830000000004
246,2000-10-26,0.9496895000000001
247,2000-10-27,0.9916665000000001
248,2000-10-28,1.920807
249,2000-10-29,2.5826085
250,2000-10-30,2.0
251,2000-10-31,2.4459630000000003
252,2000-11-01,4.1723605
253,2000-11-02,4.7341615
254,2000-11-03,2.6257575000000006
255,2000-11-04,3.8052794999999997
256,2000-11-05,3.9425464999999997
257,2000-11-06,3.7121115
258,2000-11-07,2.777019
259,2000-11-08,4.2658385
260,2000-11-09,3.2863635
261,2000-11-10,1.489441
262,2000-11-11,1.6978259999999998
263,2000-11-12,2.517702
264,2000-11-13,5.9701865000000005
265,2000-11-14,5.906521499999999
266,2000-11-15,5.5819875
267,2000-11-16,4.8990680000000015
268,2000-11-17,2.3166665
269,2000-11-18,2.567702
270,2000-11-19,2.24441
271,2000-11-20,3.7118015
272,2000-11-21,8.487578
273,2000-11-22,5.256818
274,2000-11-23,3.998758
275,2000-11-24,4.4257765
276,2000-11-25,4.2434785
277,2000-11-26,4.404348000000001
278,2000-11-27,3.9847824999999997
279,2000-11-28,4.7338505
280,2000-11-29,4.5829195
281,2000-11-30,2.8833335
282,2000-12-01,2.4507575
283,2000-12-02,2.078882
284,2000-12-03,1.078882
285,2000-12-04,1.143789
286,2000-12-05,1.935093
287,2000-12-06,3.3015525
288,2000-12-07,2.0506215
289,2000-12-08,2.9651515
290,2000-12-09,2.7993785000000004
291,2000-12-10,1.2524845
292,2000-12-11,0.8559005
293,2000-12-12,1.297205
294,2000-12-13,2.5102485
295,2000-12-14,3.057143
296,2000-12-15,2.668182
297,2000-12-16,1.4891305000000001
298,2000-12-17,0.899068
299,2000-12-18,1.0142855
300,2000-12-19,3.9919255
301,2000-12-20,9.247205
302,2000-12-21,9.742857
303,2000-12-22,6.9856060000000015
304,2000-12-23,2.8052794999999997
305,2000-12-24,3.5319875
306,2000-12-25,1.2664594999999998
307,2000-12-26,0.762733
308,2000-12-27,2.8484475
309,2000-12-28,2.8919255
310,2000-12-29,4.7227275
311,2000-12-30,3.618633500000001
312,2000-12-31,4.885093
313,2001-03-01,0.42789449999999996
314,2001-03-02,0.4227275
315,2001-03-03,0.6267079999999999
316,2001-03-04,0.8496894999999999
317,2001-03-05,0.777019
318,2001-03-06,0.853416
319,2001-03-07,1.0332299999999999
320,2001-03-08,1.1052795
321,2001-03-09,1.044697
322,2001-03-10,0.5621115
323,2001-03-11,0.460559
324,2001-03-12,0.3254655
325,2001-03-13,0.188889
326,2001-03-14,0.492857
327,2001-03-15,0.7475
328,2001-03-16,0.7113635
329,2001-03-17,0.8611800000000001
330,2001-03-18,1.1664595
331,2001-03-19,1.030435
332,2001-03-20,0.9900625
333,2001-03-21,1.130435
334,2001-03-22,1.2627329999999999
335,2001-03-23,0.8901515
336,2001-03-24,0.5763975
337,2001-03-25,0.419565
338,2001-03-26,0.5357145000000001
339,2001-03-27,0.5462735
340,2001-03-28,0.546894
341,2001-03-29,0.3878945
342,2001-03-30,0.418182
343,2001-03-31,0.8698759999999999
344,2001-04-01,0.932298
345,2001-04-02,1.2304350000000002
346,2001-04-03,0.985093
347,2001-04-04,0.7347824999999999
348,2001-04-05,0.862733
349,2001-04-06,0.5833335
350,2001-04-07,0.6189439999999999
351,2001-04-09,0.937578
352,2001-04-10,1.028261
353,2001-04-11,1.1347825
354,2001-04-12,1.1326085
355,2001-04-13,0.612121
356,2001-04-14,0.19697
357,2001-04-15,0.2916665
358,2001-04-16,0.42
359,2001-04-17,0.4894410000000001
360,2001-04-18,0.43913050000000003
361,2001-04-19,0.5964285
362,2001-04-20,0.315909
363,2001-04-21,1.2354040000000002
364,2001-04-22,1.2413045
365,2001-04-23,0.9434785
366,2001-04-24,0.6204970000000001
367,2001-04-25,0.589441
368,2001-04-26,0.496212
369,2001-04-27,0.4993785
370,2001-04-28,0.5987579999999999
371,2001-04-29,0.6338505
372,2001-04-30,0.7108694999999999
373,2001-05-01,0.5916665
374,2001-05-02,0.6102485
375,2001-05-03,0.2037265
376,2001-05-04,0.35530300000000004
377,2001-05-05,0.637578
378,2001-05-06,0.8748450000000001
379,2001-05-07,0.4822980000000001
380,2001-05-08,0.3742235
381,2001-05-09,0.474845
382,2001-05-10,0.885606
383,2001-05-11,0.367702
384,2001-05-12,0.1360245
385,2001-05-13,0.430435
386,2001-05-14,0.5276395
387,2001-05-15,0.44037250000000006
388,2001-05-16,0.4152175
389,2001-05-17,0.3692545
390,2001-05-18,0.662879
391,2001-05-19,0.3015525
392,2001-05-20,0.3863355000000001
393,2001-05-21,0.5627329999999999
394,2001-05-22,0.2829195
395,2001-05-23,0.26055900000000004
396,2001-05-24,0.3360245
397,2001-05-25,0.4515155
398,2001-05-26,0.382298
399,2001-05-27,0.362733
400,2001-05-28,0.2736025
401,2001-05-29,0.462733
402,2001-05-30,0.4037265
403,2001-05-31,0.3819875
404,2001-06-01,0.209091
405,2001-06-02,0.4397515
406,2001-06-03,0.26888900000000004
407,2001-06-04,0.331056
408,2001-06-05,0.4381985
409,2001-06-06,0.412879
410,2001-06-07,0.604348
411,2001-06-08,0.5401514999999999
412,2001-06-09,0.18291949999999998
413,2001-06-10,0.196212
414,2001-06-11,0.222222
415,2001-06-12,0.3225
416,2001-06-13,0.45124200000000003
417,2001-06-14,0.612422
418,2001-06-15,0.518939
419,2001-06-16,0.546894
420,2001-06-17,0.426708
421,2001-06-18,0.465476
422,2001-06-19,0.31
423,2001-06-20,0.471875
424,2001-06-21,0.6080745000000001
425,2001-06-22,0.6382355
426,2001-06-23,1.1518635000000002
427,2001-06-24,1.19441
428,2001-06-25,1.5015524999999998
429,2001-06-26,1.3850930000000001
430,2001-06-27,1.579193
431,2001-06-28,1.458385
432,2001-06-29,0.8613635000000001
433,2001-06-30,0.2857145
434,2001-07-01,0.1015525
435,2001-07-02,0.16
436,2001-07-03,0.184375
437,2001-07-04,0.02
438,2001-07-05,0.456316
439,2001-07-06,0.008333499999999999
440,2001-07-13,0.5734845000000001
441,2001-07-14,0.0857145
442,2001-07-15,0.188889
443,2001-07-16,0.47763950000000005
444,2001-07-17,0.4136645000000001
445,2001-07-18,0.1916665
446,2001-07-19,0.0
447,2001-07-20,0.25
448,2001-07-21,0.01
449,2001-07-22,0.175
450,2001-07-23,0.08
451,2001-07-24,0.28250000000000003
452,2001-07-25,0.1204545
453,2001-07-26,0.0
454,2001-07-27,0.4507575
455,2001-07-28,0.1518635
456,2001-07-29,0.43928549999999994
457,2001-07-30,0.0142855
458,2001-07-31,0.202193
459,2001-08-01,0.99441
460,2001-08-02,1.0742235
461,2001-08-03,0.79697
462,2001-08-04,0.6590064999999999
463,2001-08-05,0.4037265
464,2001-08-06,0.2829195
465,2001-08-07,0.22826100000000002
466,2001-08-08,0.2397515
467,2001-08-09,0.17857150000000002
468,2001-08-10,0.26060599999999995
469,2001-08-11,0.0857145
470,2001-08-12,0.0857145
471,2001-08-13,0.185093
472,2001-08-14,0.2257895
473,2001-08-15,0.19052650000000004
474,2001-08-16,0.1425465
475,2001-08-17,0.1857145
476,2001-08-18,0.25341600000000003
477,2001-08-19,0.1599375
478,2001-08-20,0.10590050000000001
479,2001-08-21,0.323292
480,2001-08-22,0.328882
481,2001-08-23,0.4670805
482,2001-08-24,1.2164595
483,2001-08-25,1.3381985
484,2001-08-26,0.2152175
485,2001-08-27,0.5322979999999999
486,2001-08-28,0.46428549999999996
487,2001-08-29,0.353416
488,2001-08-30,0.2763975
489,2001-08-31,0.1992425
490,2001-09-01,0.6993785
491,2001-09-02,0.5807455
492,2001-09-03,0.0021739999999999997
493,2001-09-04,0.3863355000000001
494,2001-09-05,1.1158385
495,2001-09-06,0.035404000000000005
496,2001-09-07,0.368939
497,2001-09-08,0.654037
498,2001-09-09,0.8102484999999999
499,2001-09-10,0.6748449999999999
500,2001-09-11,0.8015525
501,2001-09-12,0.4453415
502,2001-09-13,0.49441
503,2001-09-14,0.5984845
504,2001-09-15,0.2692545
505,2001-09-16,0.392236
506,2001-09-17,0.5425465
507,2001-09-18,0.5223605
508,2001-09-19,0.654037
509,2001-09-20,0.496584
510,2001-09-21,0.3742425
511,2001-09-22,0.7065215
512,2001-09-23,1.0900625000000002
513,2001-09-24,1.165528
514,2001-09-25,1.3037265
515,2001-09-26,1.3282610000000001
516,2001-09-27,0.9272725
517,2001-09-28,0.30807450000000003
518,2001-09-29,0.237578
519,2001-09-30,0.10590050000000001
520,2001-10-01,0.1152175
521,2001-10-02,0.07205
522,2001-10-03,0.2136645
523,2001-10-04,0.6590064999999999
524,2001-10-05,0.7954545
525,2001-10-06,0.887267
526,2001-10-07,0.9354040000000001
527,2001-10-08,0.5729810000000001
528,2001-10-09,0.32018650000000004
529,2001-10-10,0.7447205
530,2001-10-11,1.5009320000000002
531,2001-10-12,0.7954545
532,2001-10-13,0.6086955000000001
533,2001-10-14,0.6108695000000001
534,2001-10-15,0.7810560000000001
535,2001-10-16,0.5763975
536,2001-10-17,0.9338505
537,2001-10-18,0.497205
538,2001-10-19,1.330303
539,2001-10-20,1.2440995000000001
540,2001-10-21,0.6736025000000001
541,2001-10-22,0.7397515
542,2001-10-23,0.8074534999999999
543,2001-10-24,1.09441
544,2001-10-25,0.3661495
545,2001-10-26,0.32348449999999995
546,2001-10-27,0.6310560000000001
547,2001-10-28,0.331677
548,2001-10-29,0.12732899999999994
549,2001-10-30,0.631677
550,2001-10-31,0.2742235
551,2001-11-01,0.32018650000000004
552,2001-11-02,0.1863635
553,2001-11-03,0.002381
554,2001-11-04,0.1151515
555,2001-11-05,0.06969700000000001
556,2001-11-06,0.0522725
557,2001-11-07,0.907143
558,2001-11-08,0.1245345
559,2001-11-09,0.7022725000000001
560,2001-11-10,1.367702
561,2001-11-11,1.6863355
562,2001-11-12,1.1742235
563,2001-11-13,0.5829194999999999
564,2001-11-14,1.4254655
565,2001-11-15,1.196584
566,2001-11-16,1.481818
567,2001-11-17,0.449068
568,2001-11-18,1.074845
569,2001-11-19,0.36490700000000004
570,2001-11-20,0.5534159999999999
571,2001-11-21,0.9257764999999999
572,2001-11-22,1.039441
573,2001-11-23,0.427619
574,2001-11-24,0.389441
575,2001-11-25,0.069876
576,2001-11-26,0.6913045
577,2001-11-27,0.7217389999999999
578,2001-11-28,0.3934785
579,2001-11-29,0.226708
580,2001-11-30,0.955303
581,2001-12-01,0.859317
582,2001-12-02,0.795963
583,2001-12-03,1.27795
584,2001-12-04,1.0447205
585,2001-12-05,0.6068325
586,2001-12-06,0.4409935
587,2001-12-07,0.3916665
588,2001-12-08,0.4080745
589,2001-12-09,0.3590065
590,2001-12-10,0.3835405
591,2001-12-11,0.460559
592,2001-12-12,1.1257765
593,2001-12-13,1.0161495
594,2001-12-14,0.5537880000000001
595,2001-12-15,0.018012500000000004
596,2001-12-16,0.6344719999999999
597,2001-12-17,0.4568325
598,2001-12-18,1.0813665
599,2001-12-19,1.2108695
600,2001-12-20,0.904348
601,2001-12-21,0.471212
602,2001-12-22,0.6158385000000001
603,2001-12-23,0.5319875
604,2001-12-24,1.0583850000000001
605,2001-12-25,0.654037
606,2001-12-26,0.8677020000000001
607,2001-12-27,1.1826085
608,2001-12-28,0.54697
609,2001-12-29,0.254037
610,2001-12-30,0.4425465
611,2001-12-31,0.678261
612,2002-01-01,0.400932
613,2002-01-02,0.2642855
614,2002-01-03,0.15403699999999998
615,2002-01-04,0.1075755
616,2002-01-05,0.1108695
617,2002-01-06,0.3819875
618,2002-01-07,0.1835405
619,2002-01-08,0.2993785
620,2002-01-09,0.186646
621,2002-01-10,0.19503099999999998
622,2002-01-11,0.335606
623,2002-01-12,0.1857145
624,2002-01-13,0.29285700000000003
625,2002-01-14,0.6031059999999999
626,2002-01-15,0.164907
627,2002-01-16,0.128882
628,2002-01-17,0.2863355
629,2002-01-18,0.32803000000000004
630,2002-01-19,0.13323
631,2002-01-20,0.2152175
632,2002-01-21,0.358385
633,2002-01-22,0.192236
634,2002-01-23,0.12236049999999997
635,2002-01-24,0.29068299999999997
636,2002-01-25,0.22878800000000002
637,2002-01-26,0.121739
638,2002-01-27,0.2621115
639,2002-01-28,0.07639750000000001
640,2002-01-29,0.079193
641,2002-01-30,0.079193
642,2002-01-31,0.235404
643,2002-02-01,0.219697
644,2002-02-02,0.7416149999999999
645,2002-02-03,0.8049689999999999
646,2002-02-04,0.592236
647,2002-02-05,0.597205
648,2002-02-06,0.8841614999999999
649,2002-02-07,0.656211
650,2002-02-08,0.4598485
651,2002-02-09,0.1425465
652,2002-02-10,0.31521750000000004
653,2002-02-11,0.3692545
654,2002-02-12,0.5496894999999999
655,2002-02-13,0.7180125
656,2002-02-14,0.6757765
657,2002-02-15,0.31893900000000003
658,2002-02-16,0.249068
659,2002-02-17,0.219565
660,2002-02-18,0.09223599999999997
661,2002-02-19,0.4841615
662,2002-02-20,0.325155
663,2002-02-21,0.22888200000000006
664,2002-02-22,0.2007575
665,2002-02-23,0.6748449999999999
666,2002-02-24,0.4447205
667,2002-02-25,0.419565
668,2002-02-26,0.114596
669,2002-02-27,0.3670805
670,2002-02-28,0.2130435
671,2002-03-01,0.13106099999999998
672,2002-03-02,0.0785715
673,2002-03-03,0.07205
674,2002-03-04,0.2453415
675,2002-03-05,0.3666665
676,2002-03-06,0.11428549999999997
677,2002-03-07,0.069876
678,2002-03-08,0.1136365
679,2002-03-09,0.1130435
680,2002-03-10,0.1108695
681,2002-03-11,0.14037249999999998
682,2002-03-12,0.28354050000000003
683,2002-03-13,0.17639749999999998
684,2002-03-14,0.08136649999999998
685,2002-03-15,0.07196999999999999
686,2002-03-16,0.031677
687,2002-03-17,0.07484500000000001
688,2002-03-18,0.102174
689,2002-03-19,0.31149099999999996
690,2002-03-20,0.2173915
691,2002-03-21,0.29285700000000003
692,2002-03-22,0.4045455
693,2002-03-23,0.3993785000000001
694,2002-03-24,0.37205
695,2002-03-25,0.4059005
696,2002-03-26,0.6604165
697,2002-03-27,0.5458335000000001
698,2002-03-28,0.367857
699,2002-03-29,0.318182
700,2002-03-30,0.29000000000000004
701,2002-03-31,0.545
702,2002-04-01,0.551242
703,2002-04-02,0.291615
704,2002-04-03,0.428882
705,2002-04-04,0.375
706,2002-04-12,0.2416665
707,2002-04-13,0.262733
708,2002-04-14,0.4086955
709,2002-04-15,0.3065215
710,2002-04-16,0.397205
711,2002-04-17,0.4
712,2002-04-18,0.4518635
713,2002-04-19,0.194697
714,2002-04-20,0.07484500000000001
715,2002-04-21,0.1
716,2002-04-22,0.1813665
717,2002-04-23,0.1108695
718,2002-04-24,0.054037
719,2002-04-25,0.08633550000000001
720,2002-04-26,0.1113635
721,2002-04-27,0.15403699999999998
722,2002-04-28,0.1857145
723,2002-04-29,0.1993785
724,2002-04-30,0.2180125
725,2002-05-01,0.254037
726,2002-05-02,0.2065215
727,2002-05-03,0.1772725
728,2002-05-04,0.153416
729,2002-05-05,0.12950299999999998
730,2002-05-06,0.16770200000000002
731,2002-05-07,0.14534149999999998
732,2002-05-08,0.069876
733,2002-05-09,0.1900625
734,2002-05-10,0.1
735,2002-05-11,0.0381985
736,2002-05-12,0.0086955
737,2002-05-13,0.024534500000000004
738,2002-05-14,0.0086955
739,2002-05-15,0.08136649999999998
740,2002-05-16,0.056211
741,2002-05-17,0.08333349999999999
742,2002-05-18,0.0993785
743,2002-05-19,0.067702
744,2002-05-20,0.060559
745,2002-05-21,0.1
746,2002-05-22,0.102174
747,2002-05-23,0.1813665
748,2002-05-24,0.253788
749,2002-05-25,0.08354049999999999
750,2002-05-26,0.0360245
751,2002-05-27,0.09006249999999999
752,2002-05-28,0.19503099999999998
753,2002-05-29,0.29285700000000003
754,2002-05-30,0.1813665
755,2002-05-31,0.08560599999999999
756,2002-06-01,0.097205
757,2002-06-02,0.17484500000000006
758,2002-06-03,0.15403699999999998
759,2002-06-04,0.2813665
760,2002-06-05,0.3742235
761,2002-06-06,0.31521750000000004
762,2002-06-07,0.135606
763,2002-06-08,0.0993785
764,2002-06-09,0.051863500000000014
765,2002-06-10,0.104348
766,2002-06-11,0.0993785
767,2002-06-12,0.17639749999999998
768,2002-06-13,0.126708
769,2002-06-14,0.189394
770,2002-06-15,0.158385
771,2002-06-16,0.15403699999999998
772,2002-06-17,0.2065215
773,2002-06-18,0.1447205
774,2002-06-19,0.197205
775,2002-06-20,0.09006249999999999
776,2002-06-21,0.156818
777,2002-06-22,0.1813665
778,2002-06-23,0.18125
779,2002-06-24,0.2431675
780,2002-06-25,0.28354050000000003
781,2002-06-26,0.270497
782,2002-06-27,0.331677
783,2002-06-28,0.2272725
784,2002-06-29,0.047515499999999995
785,2002-06-30,0.022360500000000002
786,2002-07-01,0.077019
787,2002-07-02,0.0857145
788,2002-07-03,0.065528
789,2002-07-04,0.3158385
790,2002-07-05,0.043939000000000006
791,2002-07-06,0.05838500000000001
792,2002-07-07,0.1431675
793,2002-07-08,0.1813665
794,2002-07-09,0.0993785
795,2002-07-10,0.09006249999999999
796,2002-07-11,0.1381985
797,2002-07-12,0.15303
798,2002-07-13,0.088509
799,2002-07-14,0.004348
800,2002-07-15,0.079193
801,2002-07-16,0.1518635
802,2002-07-17,0.17701899999999998
803,2002-07-18,0.1813665
804,2002-07-19,0.137879
805,2002-07-20,0.1065215
806,2002-07-21,0.16118000000000002
807,2002-07-22,0.17701899999999998
808,2002-07-23,0.1360245
809,2002-07-24,0.190683
810,2002-07-25,0.192236
811,2002-07-26,0.181061
812,2002-07-27,0.1152175
813,2002-07-28,0.2130435
814,2002-07-29,0.4360245
815,2002-07-30,0.2993785
816,2002-07-31,0.3223605
817,2002-08-01,0.4065215000000001
818,2002-08-02,0.253788
819,2002-08-03,0.092857
820,2002-08-04,0.06118
821,2002-08-05,0.0338505
822,2002-08-06,0.054037
823,2002-08-07,0.060559
824,2002-08-08,0.2475155
825,2002-08-09,0.2227275
826,2002-08-10,0.1425465
827,2002-08-11,0.0496895
828,2002-08-12,0.077019
829,2002-08-13,0.16118000000000002
830,2002-08-14,0.2086955
831,2002-08-15,0.2086955
832,2002-08-16,0.2475155
833,2002-08-17,0.1835405
834,2002-08-18,0.14534149999999998
835,2002-08-19,0.15403699999999998
836,2002-08-20,0.22453449999999997
