,Date Local,County Code,State Code,Site Num,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
0,2000-01-01,13,6.0,1252.0,13.630434749999997,23.0,6.5,21.75,0.015614749999999997,0.024500000000000008,14.0,21.0,1.40190575,2.5250000000000004,10.0,4.666666666666666,0.615760875,1.075,5.25,12.08333333333333
12,2000-01-02,13,6.0,1252.0,12.053359499999996,21.25,10.75,20.0,0.01871875,0.029250000000000012,9.25,24.75,2.04368775,3.9875000000000003,8.125,6.0,0.46525662500000003,0.8499999999999998,12.0,9.45833333333333
23,2000-01-03,13,6.0,1252.0,21.324110749999996,37.25,15.5,35.25,0.00772925,0.016500000000000008,8.75,14.0,2.4505716250000003,5.699999999999999,10.75,9.541666666666668,0.8820363749999999,1.7375,16.375,16.833333333333332
35,2000-01-04,13,6.0,1252.0,24.756276000000007,40.25,12.25,38.0,0.00747625,0.014250000000000006,13.5,12.0,2.45781925,5.424999999999999,14.375,10.20833333333333,1.03179675,1.8375,6.875,19.458333333333332
47,2000-01-05,13,6.0,1252.0,15.564558500000002,28.25,10.75,26.5,0.01540625,0.02625000000000001,9.25,22.25,1.0821631250000001,2.0250000000000004,8.375,4.75,0.69612175,1.4125,8.0,15.66666666666666
59,2000-01-06,13,6.0,1252.0,23.515645750000004,34.25,15.25,32.5,0.005031250000000001,0.011000000000000001,8.75,9.0,1.92882175,4.324999999999999,11.75,8.291666666666666,0.8979187500000001,1.7374999999999996,10.875,17.41666666666666
71,2000-01-07,13,6.0,1252.0,26.55097150000001,39.25,21.25,37.25,0.007375000000000001,0.019000000000000006,9.0,16.25,1.9938041249999998,4.7375,14.375,9.54166666666667,1.014960125,1.7874999999999996,10.875,18.91666666666666
83,2000-01-08,13,6.0,1252.0,21.833333500000006,33.75,4.75,31.75,0.0046977500000000005,0.011250000000000001,9.0,9.5,1.8796301250000003,4.4875,9.375,9.708333333333332,0.8915307499999999,1.6875000000000002,14.625,20.75
95,2000-01-09,13,6.0,1252.0,16.733242749999995,28.5,16.25,27.0,0.012291499999999997,0.021500000000000002,10.25,18.25,1.5487478749999999,3.0625,11.75,6.208333333333335,0.70588775,1.2750000000000001,2.75,17.375
107,2000-01-10,13,6.0,1252.0,13.939970500000001,24.75,8.0,23.25,0.011791750000000002,0.01675,10.5,14.5,1.23821025,2.025,9.5,5.791666666666666,0.527262375,0.8625,6.875,12.458333333333332
