,Date Local,CO Mean
0,2000-01-01,0.4667870000000001
1,2000-01-02,0.3811595
2,2000-01-03,1.359239
3,2000-01-04,1.4951085000000002
4,2000-01-05,1.280616
5,2000-01-06,1.0112315
6,2000-01-07,2.10322
7,2000-01-08,2.9185685
8,2000-01-09,4.2174815
9,2000-01-10,1.975
10,2000-01-11,2.4061595
11,2000-01-12,3.0317935
12,2000-01-13,1.9553445
13,2000-01-14,2.391856
14,2000-01-15,5.5818840000000005
15,2000-01-16,2.1339675
16,2000-01-17,1.1237315
17,2000-01-18,2.0444750000000003
18,2000-01-19,1.28125
19,2000-01-20,0.985326
20,2000-01-21,0.7761365
21,2000-01-22,1.4602355
22,2000-01-23,1.7499094999999998
23,2000-01-24,2.7770835
24,2000-01-25,1.4819749999999998
25,2000-01-26,0.4002715000000001
26,2000-01-27,1.229348
27,2000-01-28,2.7615529999999997
28,2000-01-29,2.519203
29,2000-01-30,2.698188
30,2000-01-31,1.0836955
31,2000-02-01,1.5479165
32,2000-02-02,3.0800725
33,2000-02-03,1.558424
34,2000-02-04,2.430871
35,2000-02-05,2.8456520000000003
36,2000-02-06,2.0178445
37,2000-02-07,1.3278985
38,2000-02-08,2.1387685000000003
39,2000-02-09,2.9923915
40,2000-02-10,0.42971000000000004
41,2000-02-11,0.6147724999999999
42,2000-02-12,0.5663045
43,2000-02-13,0.4707425
44,2000-02-14,0.922826
45,2000-02-15,1.3392210000000002
46,2000-02-16,2.7934785
47,2000-02-17,0.3998185
48,2000-02-18,0.9198864999999999
49,2000-02-19,0.8278984999999999
50,2000-02-20,1.3682969999999999
51,2000-02-21,0.614221
52,2000-02-22,0.769112
53,2000-02-23,1.3412819999999999
54,2000-02-24,0.368025
55,2000-02-25,0.744697
56,2000-02-26,2.2473730000000005
57,2000-02-27,1.1528985
58,2000-02-28,0.334239
59,2000-02-29,0.7817029999999999
60,2000-03-01,0.866395
61,2000-03-02,1.108062
62,2000-03-03,0.8214014999999999
63,2000-03-04,0.698188
64,2000-03-05,0.4971920000000001
65,2000-03-06,0.5048915
66,2000-03-07,0.7821555
67,2000-03-08,0.6914855
68,2000-03-09,0.5708335
69,2000-03-10,0.6547345
70,2000-03-11,1.2975545
